word,Score
right,-1
properly,-1
sharp,-1
surrogate,-1
rightly,-1
already,-1
different,-1
completely,-1
unconscious,-1
somehow,-1
easily,-1
political,-1
home,-1
small,-1
corrupt,-1
single,-1
average,-1
effective,-1
bitter,-1
reckless,-1
blindly,-1
human,-1
lagilah,-1
sad,-1
abusive,-1
lah,-1
sorry,-1
bumiputra,-1
even,-1
decent,-1
unfit,-1
various,-1
absurd,-1
sadly,-1
native,-1
shy,-1
allegedly,-1
deep,-1
victorious,-1
awake,-1
otherwise,-1
new,-1
experienced,-1
mane,-1
stupid,-1
never,-1
chinese,-1
perwaja,-1
well,-1
genneva,-1
n,-1
rich,-1
still,-1
nice,-1
true,-1
directly,-1
yet,-1
live,-1
many,-1
real,-1
compete,-1
hard,-1
easy,-1
back,-1
derogatory,-1
greatest,-1
certain,-1
arrogant,-1
made,-1
prosper,-1
wise,-1
clever,-1
open,-1
crescent,-1
bad,-1
original,-1
pavement,-1
big,-1
abroad,-1
senior,-1
much,-1
cincai,-1
exemplary,-1
alone,-1
close,-1
expensive,-1
possible,-1
private,-1
ignorant,-1
excel,-1
non,-1
sembang,-1
last,-1
sem,-1
oversea,-1
powerful,-1
smart,-1
indeed,-1
lose,-1
aristocratic,-1
supreme,-1
conscious,-1
ungrateful,-1
british,-1
granny,-1
empty,-1
duly,-1
ni,-1
populist,-1
miscellaneous,-1
good,-1
malay,-1
successful,-1
indigenous,-1
kind,-1
kid,-1
economic,-1
picit,-1
low,-1
cheap,-1
inexpensive,-1
nose,-1
happy,-1
tease,-1
enlarge,-1
around,-1
preferably,-1
dead,-1
bawaknya,-1
dutch,-1
greedy,-1
reliable,-1
immersed,-1
rarely,-1
rude,-1
negotiable,-1
corporate,-1
full,-1
metaphorically,-1
however,-1
prudent,-1
modern,-1
often,-1
build,-1
kecinaannya,-1
united,-1
unspeakable,-1
frankly,-1
poor,-1
illegal,-1
next,-1
disingapura,-1
religious,-1
bukan,-1
pun,-1
national,-1
umpteen,-1
actually,-1
exactly,-1
moral,-1
worrior,-1
long,-1
regularly,-1
