word,Score
yummy,1
best,0
juicy,1
indeed,1
jumbo,1
prime,1
good,0
reasonable,1
new,0
big,0
far,1
also,0
well,0
willing,1
social,1
awesome,1
great,0
back,0
overall,1
friendly,0
efficient,1
constantly,1
interactive,1
attentive,1
atmosphere,1
chili,1
arguably,1
naan,1
quite,0
generous,1
heavenly,1
dhaal,1
ever,0
longest,1
already,0
aunty,1
abdullah,1
delicious,0
wonderful,1
especially,1
chinese,1
excellent,1
politely,0
nice,0
amazing,1
definitely,0
honest,1
left,1
unexpected,1
expensive,0
halal,1
heaven,1
splendid,1
soon,1
romantic,1
special,1
absolutely,1
recently,1
modern,1
clean,1
full,1
always,0
still,0
much,0
different,1
differently,1
available,1
homemade,1
tasty,0
prepared,0
affordable,1
cheap,0
kinda,1
almost,0
esp,1
middle,1
eastern,1
happy,1
superb,1
many,0
local,1
malaysian,1
asian,1
delighted,1
wonderfull,1
super,0
even,0
queue,1
next,0
sure,1
importantly,1
worth,0
fast,0
numerous,1
interesting,1
corporate,1
fresh,0
wide,1
exciting,1
beautiful,1
delighting,1
really,0
hungry,1
forward,1
kat,1
kerutup,1
fat,1
colourful,1
peacefully,1
fantastic,1
ideal,1
highly,0
spacious,1
simple,0
favourite,0
unique,1
enough,1
twinkle,1
right,0
sangat,1
sebaliknya,1
makan,1
perkhidmatan,1
kebersihan,1
undian,1
central,1
nasi,1
cute,1
yummylicious,1
bad,-1
reluctantly,-1
properly,-1
sorry,-1
poor,-1
unprofessional,-1
unbelievable,-1
little,-1
limited,-1
fluent,-1
counter,-1
long,-1
close,-1
damn,-1
syibal,-1
cashier,-1
february,-1
unfriendly,-1
somewhat,-1
worst,-1
benetic,-1
salty,-1
sour,-1
free,-1
real,-1
human,-1
anyway,-1
chef,-1
key,-1
terrific,-1
dear,-1
baked,-1
clearly,-1
vegetarian,-1
main,-1
deeply,-1
disappointed,-1
official,-1
hindu,-1
sushi,-1
slow,-1
hard,-1
twice,-1
terrible,-1
approximately,-1
sunway,-1
yet,-1
ioi,-1
first,-1
smelly,-1
least,-1
regular,-1
newly,-1
rudely,-1
loud,-1
loudly,-1
proper,-1
particular,-1
totally,-1
acceptable,-1
stale,-1
measly,-1
wrong,-1
rude,-1
front,-1
simply,-1
serious,-1
greatly,-1
sweet,-1
nt,-1
indian,-1
messy,-1
recent,-1
hot,-1
actually,-1
terribly,-1
heavy,-1
handed,-1
gosh,-1
waitress,-1
ineffective,-1
lousy,-1
short,-1
la,-1
worse,-1
open,-1
better,-1
minded,-1
negative,-1
infront,-1
delete,-1
plain,-1
lame,-1
sadly,-1
whole,-1
spicy,-1
mixed,-1
disappointing,-1
cold,-1
oily,-1
ridiculous,-1
watered,-1
wet,-1
sucky,-1
overpriced,-1
joint,-1
sad,-1
ago,-1
useless,-1
ignorant,-1
tasteless,-1
complete,-1
several,-1
anymore,-1
else,-1
butterworth,-1
black,-1
spicier,-1
fine,-1
barely,-1
english,-1
seriously,-1
dirty,-1
horrible,-1
polite,-1
experienced,-1
hopefully,-1
exhausted,-1
whenever,-1
sampai,-1
scary,-1
severe,-1
ready,-1
last,-1
