word,Score
yummy,1
best,1
juicy,1
indeed,1
jumbo,1
prime,1
good,1
reasonable,1
new,1
big,1
far,1
also,1
well,1
willing,1
social,1
awesome,1
great,1
back,1
overall,1
friendly,1
efficient,1
constantly,1
interactive,1
attentive,1
atmosphere,1
chili,1
arguably,1
naan,1
quite,1
generous,1
heavenly,1
dhaal,1
ever,1
longest,1
already,1
aunty,1
abdullah,1
delicious,1
wonderful,1
especially,1
chinese,1
excellent,1
politely,1
nice,1
amazing,1
definitely,1
honest,1
left,1
unexpected,1
expensive,1
halal,1
heaven,1
splendid,1
soon,1
romantic,1
special,1
absolutely,1
recently,1
modern,1
clean,1
full,1
always,1
still,1
much,1
different,1
differently,1
available,1
homemade,1
tasty,1
prepared,1
affordable,1
cheap,1
kinda,1
almost,1
esp,1
middle,1
eastern,1
happy,1
superb,1
many,1
local,1
malaysian,1
asian,1
delighted,1
wonderfull,1
super,1
even,1
queue,1
next,1
sure,1
importantly,1
worth,1
fast,1
numerous,1
interesting,1
corporate,1
fresh,1
wide,1
exciting,1
beautiful,1
delighting,1
really,1
hungry,1
forward,1
kat,1
kerutup,1
fat,1
colourful,1
peacefully,1
fantastic,1
ideal,1
highly,1
spacious,1
simple,1
favourite,1
unique,1
enough,1
twinkle,1
right,1
sangat,1
sebaliknya,1
makan,1
perkhidmatan,1
kebersihan,1
undian,1
central,1
nasi,1
cute,1
yummylicious,1
